ac_in_current,ac_out_voltage,pv_current,time_slots
3.748813151639581,222.2833505510455,2.747755634035501,0
-3.9388261729502974,195.47029707191157,2.398140480446736,1
2.6055944180052624,192.4961195431893,3.3031915212329075,2
4.832520918396121,226.48607884340396,2.844360260914203,3
2.6837341665919343,237.80415972324272,4.5719615045420445,4
-3.6692470508570207,189.50654168273854,1.1710758123633176,5
-2.3835948865460432,181.9620931173613,1.602808702749254,6
1.4865089005754228,193.15797018042926,0.6829611553043424,7
1.5555221687786105,200.6022097508203,0.9272441449029795,8
-1.4902362206462518,204.51461995531713,4.669284044243026,9
-2.0417833953962683,221.48048302385007,3.1915916219148492,10
1.544930002366046,234.99346032397116,4.7470177608240975,11
2.48806856396274,189.01177227746967,0.7294785273960885,12
1.9673997222866735,181.551600243277,2.0972229361010593,13
0.8683707293623364,209.01679466369373,1.2688265512918124,14
-2.147619510844022,211.82202448516432,2.2884243631359076,15
-1.5942110448428815,206.5966577372937,1.5455063913474483,16
0.24166524760488883,185.78044371528074,0.12908228565998825,17
-1.9565082526010515,188.47928697726007,1.499951627231511,18
0.4478636901662645,205.14446077470808,2.7168379501814375,19
1.0400276422763266,196.68747525296268,4.442740451233992,20
-4.2122585020437056,184.5856191843977,1.4931629751921345,21
0.1751953147642551,200.0834686165697,2.74114393511586,22
2.8278532535638305,216.64511709196705,4.536368029118441,23
-3.706368232449245,234.95699954348586,2.2217148380240643,24
1.9895973200647576,235.5470366690522,2.9714043606988416,25
1.3504070413678164,203.0255917368208,0.22941785136450177,26
4.045358073779916,197.9087592630201,0.5343238866016514,27
-4.904770294681336,188.4925676197355,0.7126104003503747,28
-4.472934629610453,185.53898772540728,0.21281384984057572,29
-4.5667909092183825,214.78487084176206,0.061008026255781056,30
-3.05317770256905,219.77557715580335,1.8207732004268462,31
-2.1404765621744892,215.80337712809904,4.572960367687604,32
-2.067336686624813,227.1954336947741,4.888099490941398,33
-1.3777748309623061,210.96289388987856,2.6699609063224434,34
-2.004612603986269,203.47391451539426,3.2770074773992093,35
-4.175101845372958,205.74682566073355,4.3381903742014485,36
-2.984808421365215,217.56784497478895,3.781392209922936,37
4.286828372419361,228.5229553581489,3.645650552437161,38
-2.976786091462537,193.47251923471845,4.384902373446916,39
-0.311145952837971,239.35472357606847,2.1950224885670924,40
3.2822729460145386,206.26177487856955,2.280755393214487,41
4.165301273413625,204.7370374538382,3.8530527266841212,42
-4.54475009965159,192.87453255672006,1.3742174789451895,43
2.636637551574963,180.37425506385514,2.6600062984474526,44
-0.04653246775057873,235.03556541990167,0.031657022931208534,45
-4.33032496988962,208.85426738951477,2.8417927139304426,46
-4.661402201807078,223.6374426353555,1.1086941835658037,47
4.446525913097361,209.339626750153,0.5655965120348677,48
-4.690031845665178,197.77046850943697,1.6633873748145667,49
-3.0684624703123697,239.9935795850693,2.09513381371067,50
-3.841079673060057,231.26787372378337,0.9126826714653763,51
-0.5765661907479469,225.2406138478729,2.7372667688656134,52
-3.677397497426651,184.15993656231115,3.274566510071743,53
-4.328603140222619,221.00246163897046,2.197926983786042,54
-0.5018228015475703,224.62928455269304,2.5111159886719374,55
2.9496683582430308,187.72932669779826,3.504550660225946,56
2.061669740464537,216.47516768254386,3.6023620671918204,57
1.8869941367302898,212.49737466420322,4.611747902651127,58
4.0639060341716675,232.71442741197197,2.629199004858382,59
